[17:01:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[17:01:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:01:11] [ServerMain/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:01:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:01:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[17:01:12] [ServerMain/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[17:01:13] [Worker-Main-2/INFO]: Loaded 7 recipes
[17:01:14] [Worker-Main-2/INFO]: Loaded 1141 advancements
[17:01:17] [Server thread/INFO]: Starting minecraft server version 1.18.2
[17:01:17] [Server thread/INFO]: Loading properties
[17:01:17] [Server thread/INFO]: Default game type: SURVIVAL
[17:01:17] [Server thread/INFO]: Generating keypair
[17:01:17] [Server thread/INFO]: Starting Minecraft server on *:25565
[17:01:17] [Server thread/INFO]: Using epoll channel type
[17:01:17] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[17:01:17] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[17:01:17] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[17:01:17] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[17:01:17] [Server thread/INFO]: Preparing level "world"
[17:02:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:04] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:06] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:07] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:08] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:09] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:10] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:11] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:12] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:13] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:14] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:15] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:16] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:17] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:18] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:19] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:20] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:21] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:22] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:23] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:24] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:25] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:26] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:27] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:28] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:29] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:30] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:31] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:32] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:33] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:34] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:35] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:36] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:37] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:38] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[17:02:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[17:02:39] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[17:02:40] [Worker-Main-2/INFO]: Preparing spawn area: 1%
[17:02:40] [Worker-Main-2/INFO]: Preparing spawn area: 4%
[17:02:41] [Worker-Main-2/INFO]: Preparing spawn area: 6%
[17:02:41] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[17:02:42] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[17:02:42] [Worker-Main-2/INFO]: Preparing spawn area: 10%
[17:02:43] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[17:02:43] [Worker-Main-2/INFO]: Preparing spawn area: 18%
[17:02:44] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[17:02:44] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[17:02:45] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[17:02:45] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[17:02:46] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[17:02:47] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[17:02:47] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[17:02:47] [Worker-Main-2/INFO]: Preparing spawn area: 35%
[17:02:48] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[17:02:48] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[17:02:49] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[17:02:50] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[17:02:50] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[17:02:50] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[17:02:51] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[17:02:51] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[17:02:52] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[17:02:52] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[17:02:53] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[17:02:53] [Worker-Main-2/INFO]: Preparing spawn area: 59%
[17:02:54] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[17:02:54] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[17:02:55] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[17:02:55] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[17:02:56] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[17:02:56] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[17:02:57] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[17:02:57] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[17:02:59] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[17:02:59] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[17:02:59] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[17:02:59] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[17:03:00] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[17:03:01] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[17:03:01] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[17:03:01] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[17:03:02] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[17:03:03] [Server thread/INFO]: Time elapsed: 91858 ms
[17:03:03] [Server thread/INFO]: Done (106.120s)! For help, type "help"
